Name,Pclass,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,Survived
Mr. Francisco M Carrau,1,male,28,0,0,47.1,0
Miss. Bertha Ilett,2,female,17,0,0,10.5,1
Mrs. Karl Alfred (Maria Mathilda Gustafsson) Backstrom,3,female,33,3,0,15.85,1
Mr. William Neal Ford,3,male,16,1,3,34.375,0
Mr. Selman Francis Slocovski,3,male,20,0,0,8.05,0
Miss. Mabel Helen Fortune,1,female,23,3,2,263,1
Mr. Francesco Celotti,3,male,24,0,0,8.05,0
Mr. Emil Christmann,3,male,29,0,0,8.05,0
Mr. Paul Edvin Andreasson,3,male,20,0,0,7.8542,0
Mr. Herbert Fuller Chaffee,1,male,46,1,0,61.175,0
Mr. Bertram Frank Dean,3,male,26,1,2,20.575,0
Mr. Daniel Coxon,3,male,59,0,0,7.25,0
Mr. Charles Joseph Shorney,3,male,22,0,0,8.05,0
Mr. George B Goldschmidt,1,male,71,0,0,34.6542,0
Mr. William Bertram Greenfield,1,male,23,0,1,63.3583,1
Mrs. John T (Ada Julia Bone) Doling,2,female,34,0,1,23,1
Mr. Sinai Kantor,2,male,34,1,0,26,0
Miss. Matilda Petranec,3,female,28,0,0,7.8958,0
Mr. Pastcho Petroff,3,male,29,0,0,7.8958,0
Mr. Richard Frasar White,1,male,21,0,1,77.2875,0
Mr. Gustaf Joel Johansson,3,male,33,0,0,8.6542,0
Mr. Anders Vilhelm Gustafsson,3,male,37,2,0,7.925,0
Mr. Stoytcho Mionoff,3,male,28,0,0,7.8958,0
Miss. Anna Kristine Salkjelsvik,3,female,21,0,0,7.65,1
Mr. Albert Johan Moss,3,male,29,0,0,7.775,1
Mr. Tido Rekic,3,male,38,0,0,7.8958,0
Miss. Bertha Moran,3,female,28,1,0,24.15,1
Mr. Walter Chamberlain Porter,1,male,47,0,0,52,0
Miss. Hileni Zabour,3,female,14.5,1,0,14.4542,0
Mr. David John Barton,3,male,22,0,0,8.05,0
Miss. Katriina Jussila,3,female,20,1,0,9.825,0
Miss. Malake Attalah,3,female,17,0,0,14.4583,0
Mr. Edvard Pekoniemi,3,male,21,0,0,7.925,0
Mr. Patrick Connors,3,male,70.5,0,0,7.75,0
Mr. William John Robert Turpin,2,male,29,1,0,21,0
Mr. Quigg Edmond Baxter,1,male,24,0,1,247.5208,0
Miss. Ellis Anna Maria Andersson,3,female,2,4,2,31.275,0
Mr. Stanley George Hickman,2,male,21,2,0,73.5,0
Mr. Leonard Charles Moore,3,male,19,0,0,8.05,0
Mr. Nicholas Nasser,2,male,32.5,1,0,30.0708,0
Miss. Susan Webber,2,female,32.5,0,0,13,1
Mr. Percival Wayland White,1,male,54,0,1,77.2875,0
Master. Elias Nicola-Yarred,3,male,12,1,0,11.2417,1
Mr. Martin McMahon,3,male,19,0,0,7.75,0
Mr. Fridtjof Arne Madsen,3,male,24,0,0,7.1417,1
Miss. Anna Peter,3,female,2,1,1,22.3583,1
Mr. Johan Ekstrom,3,male,45,0,0,6.975,0
Mr. Jozef Drazenoic,3,male,33,0,0,7.8958,0
Mr. Domingos Fernandeo Coelho,3,male,20,0,0,7.05,0
Mrs. Alexander A (Grace Charity Laury) Robins,3,female,47,1,0,14.5,0
Mrs. Leopold (Mathilde Francoise Pede) Weisz,2,female,29,1,0,26,1
Mr. Samuel James Hayden Sobey,2,male,25,0,0,13,0
Mr. Emile Richard,2,male,23,0,0,15.0458,0
Miss. Helen Monypeny Newsom,1,female,19,0,2,26.2833,1
Mr. Jacques Heath Futrelle,1,male,37,1,0,53.1,0
Mr. Olaf Elon Osen,3,male,16,0,0,9.2167,0
Mr. Victor Giglio,1,male,24,0,0,79.2,0
Mrs. Joseph (Sultana) Boulos,3,female,40,0,2,15.2458,0
Miss. Anna Sofia Nysten,3,female,22,0,0,7.75,1
Mrs. Pekka Pietari (Elin Matilda Dolck) Hakkarainen,3,female,24,1,0,15.85,1
Mr. Jeremiah Burke,3,male,19,0,0,6.75,0
Mr. Edgardo Samuel Andrew,2,male,18,0,0,11.5,0
Mr. Joseph Charles Nicholls,2,male,19,1,1,36.75,0
Mr. August Edvard Andersson,3,male,27,0,0,7.7958,1
Miss. Robina Maggie Ford,3,female,9,2,2,34.375,0
Mr. Michel Navratil,2,male,36.5,0,2,26,0
Rev. Thomas Roussel Davids Byles,2,male,42,0,0,13,0
Rev. Robert James Bateman,2,male,51,0,0,12.525,0
Mrs. Thomas (Edith Wearne) Pears,1,female,22,1,0,66.6,1
Mr. Alfonzo Meo,3,male,55.5,0,0,8.05,0
Mr. Austin Blyler van Billiard,3,male,40.5,0,2,14.5,0
Mr. Ole Martin Olsen,3,male,27,0,0,7.3125,0
Mr. Charles Duane Williams,1,male,51,0,1,61.3792,0
Miss. Katherine Gilnagh,3,female,16,0,0,7.7333,1
Mr. Harry Corn,3,male,30,0,0,8.05,0
Mr. Mile Smiljanic,3,male,37,0,0,8.6625,0
Master. Thomas Henry Sage,3,male,5,8,2,69.55,0
Mr. John Hatfield Cribb,3,male,44,0,1,16.1,0
Mrs. James (Elizabeth Inglis Milne) Watt,2,female,40,0,0,15.75,1
Mr. John Viktor Bengtsson,3,male,26,0,0,7.775,0
Mr. Jovo Calic,3,male,17,0,0,8.6625,0
Master. Eino Viljami Panula,3,male,1,4,1,39.6875,0
Master. Frank John William Goldsmith,3,male,9,0,2,20.525,1
Mrs. (Edith Martha Bowerman) Chibnall,1,female,48,0,1,55,1
Mrs. William (Anna Bernhardina Karlsson) Skoog,3,female,45,1,4,27.9,0
Mr. John D Baumann,1,male,60,0,0,25.925,0
Mr. Lee Ling,3,male,28,0,0,56.4958,0
Mr. Wyckoff Van der hoef,1,male,61,0,0,33.5,0
Master. Arthur Rice,3,male,4,4,1,29.125,0
Miss. Eleanor Ileen Johnson,3,female,1,1,1,11.1333,1
Mr. Antti Wilhelm Sivola,3,male,21,0,0,7.925,0
Mr. James Clinch Smith,1,male,56,0,0,30.6958,0
Mr. Klas Albin Klasen,3,male,18,1,1,7.8542,0
Master. Henry Forbes Lefebre,3,male,5,3,1,25.4667,0
Miss. Ann Elizabeth Isham,1,female,50,0,0,28.7125,0
Mr. Reginald Hale,2,male,30,0,0,13,0
Mr. Lionel Leonard,3,male,36,0,0,0,0
Miss. Constance Gladys Sage,3,female,8,8,2,69.55,0
Mr. Rene Pernot,2,male,39,0,0,15.05,0
Master. Clarence Gustaf Hugo Asplund,3,male,9,4,2,31.3875,0
Master. Richard F Becker,2,male,1,2,1,39,1
Miss. Luise Gretchen Kink-Heilmann,3,female,4,0,2,22.025,1
Mr. Hugh Roscoe Rood,1,male,39,0,0,50,0
Mrs. Thomas (Johanna Godfrey) O'Brien,3,female,26,1,0,15.5,1
Mr. Charles Hallace Romaine,1,male,45,0,0,26.55,1
Mr. John Bourke,3,male,40,1,1,15.5,0
Mr. Stjepan Turcin,3,male,36,0,0,7.8958,0
Mrs. (Rosa) Pinsky,2,female,32,0,0,13,1
Mr. William Carbines,2,male,19,0,0,13,0
Miss. Carla Christine Nielsine Andersen-Jensen,3,female,19,1,0,7.8542,1
Master. Michel M Navratil,2,male,3,1,1,26,1
Mrs. James Joseph (Margaret Tobin) Brown,1,female,44,0,0,27.7208,1
Miss. Elise Lurette,1,female,58,0,0,146.5208,1
Mr. Robert Mernagh,3,male,28,0,0,7.75,0
Mr. Karl Siegwart Andreas Olsen,3,male,42,0,1,8.4042,0
Miss. Margaret Madigan,3,female,21,0,0,7.75,1
Miss. Henriette Yrois,2,female,24,0,0,13,0
Mr. Nestor Cyriel Vande Walle,3,male,28,0,0,9.5,0
Mr. Frederick Sage,3,male,17,8,2,69.55,0
Mr. Jakob Alfred Johanson,3,male,34,0,0,6.4958,0
Mr. Gerious Youseff,3,male,45.5,0,0,7.225,0
Mr. Gurshon Cohen,3,male,18,0,0,8.05,1
Miss. Telma Matilda Strom,3,female,2,0,1,10.4625,0
Mr. Karl Alfred Backstrom,3,male,32,1,0,15.85,0
Mr. Nassef Cassem Albimona,3,male,26,0,0,18.7875,1
Miss. Helen Carr,3,female,16,0,0,7.75,1
Mr. Henry Blank,1,male,40,0,0,31,1
Mr. Ahmed Ali,3,male,24,0,0,7.05,0
Miss. Clear Annie Cameron,2,female,35,0,0,21,1
Mr. John Henry Perkin,3,male,22,0,0,7.25,0
Mr. Hans Kristensen Givard,2,male,30,0,0,13,0
Mr. Philip Kiernan,3,male,22,1,0,7.75,0
Miss. Madeleine Newell,1,female,31,1,0,113.275,1
Miss. Eliina Honkanen,3,female,27,0,0,7.925,1
Mr. Sidney Samuel Jacobsohn,2,male,42,1,0,27,0
Miss. Albina Bazzani,1,female,32,0,0,76.2917,1
Mr. Walter Harris,2,male,30,0,0,10.5,0
Mr. Victor Francis Sunderland,3,male,16,0,0,8.05,1
Mr. James H Bracken,2,male,27,0,0,13,0
Mr. George Henry Green,3,male,51,0,0,8.05,0
Mr. Christo Nenkoff,3,male,22,0,0,7.8958,0
Mr. Frederick Maxfield Hoyt,1,male,38,1,0,90,1
Mr. Karl Ivar Sven Berglund,3,male,22,0,0,9.35,0
Mr. William John Mellors,2,male,19,0,0,10.5,1
Mr. John Hall Lovell,3,male,20.5,0,0,7.25,0
Mr. Arne Jonas Fahlstrom,2,male,18,0,0,13,0
Miss. Mathilde Lefebre,3,female,12,3,1,25.4667,0
Mrs. Henry Birkhardt (Irene Wallach) Harris,1,female,35,1,0,83.475,1
Mr. Bengt Edvin Larsson,3,male,29,0,0,7.775,0
Mr. Ernst Adolf Sjostedt,2,male,59,0,0,13.5,0
Miss. Lillian Gertrud Asplund,3,female,5,4,2,31.3875,1
Mr. Robert William Norman Leyson,2,male,24,0,0,10.5,0
Miss. Alice Phoebe Harknett,3,female,21,0,0,7.55,0
Mr. Stephen Hold,2,male,44,1,0,26,0
Miss. Marjorie Collyer,2,female,8,0,2,26.25,1
Mr. Frederick William Pengelly,2,male,19,0,0,10.5,0
Mr. George Henry Hunt,2,male,33,0,0,12.275,0
Miss. Thamine Zabour,3,female,19,1,0,14.4542,0
Miss. Katherine Murphy,3,female,18,1,0,15.5,1
Mr. Reginald Charles Coleridge,2,male,29,0,0,10.5,0
Mr. Matti Alexanteri Maenpaa,3,male,22,0,0,7.125,0
Mr. Sleiman Attalah,3,male,30,0,0,7.225,0
Dr. William Edward Minahan,1,male,44,2,0,90,0
Miss. Agda Thorilda Viktoria Lindahl,3,female,25,0,0,7.775,0
Mrs. William (Anna) Hamalainen,2,female,24,0,2,14.5,1
Mr. Richard Leonard Beckwith,1,male,37,1,1,52.5542,1
Rev. Ernest Courtenay Carter,2,male,54,1,0,26,0
Mr. James George Reed,3,male,18,0,0,7.25,0
Mrs. Wilhelm (Elna Matilda Persson) Strom,3,female,29,1,1,10.4625,0
Mr. William Thomas Stead,1,male,62,0,0,26.55,0
Mr. William Arthur Lobb,3,male,30,1,0,16.1,0
Mrs. Viktor (Helena Wilhelmina) Rosblom,3,female,41,0,2,20.2125,0
Mrs. Darwis (Hanne Youssef Razi) Touma,3,female,29,0,2,15.2458,1
Mrs. Gertrude Maybelle Thorne,1,female,38,0,0,79.2,1
Miss. Gladys Cherry,1,female,30,0,0,86.5,1
Miss. Anna Ward,1,female,35,0,0,512.3292,1
Mrs. (Lutie Davis) Parrish,2,female,50,0,1,26,1
Master. Edvin Rojj Felix Asplund,3,male,3,4,2,31.3875,1
Mr. Emil Taussig,1,male,52,1,1,79.65,0
Mr. William Harrison,1,male,40,0,0,0,0
Miss. Delia Henry,3,female,21,0,0,7.75,0
Mr. David Reeves,2,male,36,0,0,10.5,0
Mr. Ernesti Arvid Panula,3,male,16,4,1,39.6875,0
Mr. Ernst Ulrik Persson,3,male,25,1,0,7.775,1
Mrs. William Thompson (Edith Junkins) Graham,1,female,58,0,1,153.4625,1
Miss. Amelia Bissette,1,female,35,0,0,135.6333,1
Mr. Alexander Cairns,1,male,28,0,0,31,0
Mr. William Henry Tornquist,3,male,25,0,0,0,1
Mrs. (Elizabeth Anne Maidment) Mellinger,2,female,41,0,1,19.5,1
Mr. Charles H Natsch,1,male,37,0,1,29.7,0
Miss. Hanora Healy,3,female,33,0,0,7.75,1
Miss. Kornelia Theodosia Andrews,1,female,63,1,0,77.9583,1
Miss. Augusta Charlotta Lindblom,3,female,45,0,0,7.75,0
Mr. Francis Parkes,2,male,21,0,0,0,0
Master. Eric Rice,3,male,7,4,1,29.125,0
Mrs. Stanton (Rosa Hunt) Abbott,3,female,35,1,1,20.25,1
Mr. Frank Duane,3,male,65,0,0,7.75,0
Mr. Nils Johan Goransson Olsson,3,male,28,0,0,7.8542,0
Mr. Alfons de Pelsmaeker,3,male,16,0,0,9.5,0
Mr. Edward Arthur Dorking,3,male,19,0,0,8.05,1
Mr. Richard William Smith,1,male,57,0,0,26,0
Mr. Ivan Stankovic,3,male,33,0,0,8.6625,0
Mr. Theodore de Mulder,3,male,30,0,0,9.5,1
Mr. Penko Naidenoff,3,male,22,0,0,7.8958,0
Mr. Masabumi Hosono,2,male,42,0,0,13,1
Miss. Kate Connolly,3,female,22,0,0,7.75,1
Miss. Ellen Barber,1,female,26,0,0,78.85,1
Mrs. Dickinson H (Helen Walton) Bishop,1,female,19,1,0,91.0792,1
Mr. Rene Jacques Levy,2,male,36,0,0,12.875,0
Miss. Aloisia Haas,3,female,24,0,0,8.85,0
Mr. Ivan Mineff,3,male,24,0,0,7.8958,0
Mr. Ervin G Lewy,1,male,30,0,0,27.7208,0
Mr. Mansour Hanna,3,male,23.5,0,0,7.2292,0
Miss. Helen Loraine Allison,1,female,2,1,2,151.55,0
Mr. Adolphe Saalfeld,1,male,47,0,0,30.5,1
Mrs. James (Helene DeLaudeniere Chaput) Baxter,1,female,50,0,1,247.5208,1
Miss. Anna Katherine Kelly,3,female,20,0,0,7.75,1
Mr. Bernard McCoy,3,male,24,2,0,23.25,1
Mr. William Cahoone Jr Johnson,3,male,19,0,0,0,0
Miss. Nora A Keane,2,female,46,0,0,12.35,1
Mr. Howard Hugh Williams,3,male,28,0,0,8.05,0
Master. Hudson Trevor Allison,1,male,0.92,1,2,151.55,1
Miss. Margaret Fleming,1,female,42,0,0,110.8833,1
Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo) Penasco y Castellana,1,female,17,1,0,108.9,1
Mr. Samuel Abelson,2,male,30,1,0,24,0
Miss. Laura Mabel Francatelli,1,female,30,0,0,56.9292,1
Miss. Margaret Bechstein Hays,1,female,24,0,0,83.1583,1
Miss. Emily Borie Ryerson,1,female,18,2,2,262.375,1
Mrs. William (Anna Sylfven) Lahtinen,2,female,26,1,1,26,0
Mr. Ignjac Hendekovic,3,male,28,0,0,7.8958,0
Mr. Benjamin Hart,2,male,43,1,1,26.25,0
Miss. Helmina Josefina Nilsson,3,female,26,0,0,7.8542,1
Mrs. Sinai (Miriam Sternin) Kantor,2,female,24,1,0,26,1
Dr. Ernest Moraweck,2,male,54,0,0,14,0
Miss. Mary Natalie Wick,1,female,31,0,2,164.8667,1
Mrs. Frederic Oakley (Margaretta Corning Stone) Spedden,1,female,40,1,1,134.5,1
Mr. Samuel Dennis,3,male,22,0,0,7.25,0
Mr. Yoto Danoff,3,male,27,0,0,7.8958,0
Miss. Hilda Mary Slayter,2,female,30,0,0,12.35,1
Mrs. Albert Francis (Sylvia Mae Harbaugh) Caldwell,2,female,22,1,1,29,1
Mr. George John Jr Sage,3,male,20,8,2,69.55,0
Miss. Marie Grice Young,1,female,36,0,0,135.6333,1
Mr. Johan Hansen Nysveen,3,male,61,0,0,6.2375,0
Mrs. (Ada E Hall) Ball,2,female,36,0,0,13,1
Mrs. Frank John (Emily Alice Brown) Goldsmith,3,female,31,1,1,20.525,1
Miss. Jean Gertrude Hippach,1,female,16,0,1,57.9792,1
Miss. Agnes McCoy,3,female,28,2,0,23.25,1
Mr. Austen Partner,1,male,45.5,0,0,28.5,0
Mr. George Edward Graham,1,male,38,0,1,153.4625,0
Mr. Leo Edmondus Vander Planke,3,male,16,2,0,18,0
Mrs. Henry William (Clara Heinsheimer) Frauenthal,1,female,42,1,0,133.65,1
Mr. Mitto Denkoff,3,male,30,0,0,7.8958,0
Mr. Thomas Clinton Pears,1,male,29,1,0,66.6,0
Miss. Elizabeth Margaret Burns,1,female,41,0,0,134.5,1
Mr. Karl Edwart Dahl,3,male,45,0,0,8.05,1
Mr. Stephen Weart Blackwell,1,male,45,0,0,35.5,0
Master. Edmond Roger Navratil,2,male,2,1,1,26,1
Miss. Alice Elizabeth Fortune,1,female,24,3,2,263,1
Mr. Erik Gustaf Collander,2,male,28,0,0,13,0
Mr. Charles Frederick Waddington Sedgwick,2,male,25,0,0,13,0
Mr. Stanley Hubert Fox,2,male,36,0,0,13,0
Miss. Amelia Brown,2,female,24,0,0,13,1
Miss. Marion Elsie Smith,2,female,40,0,0,13,1
Mrs. Thomas Henry (Mary E Finck) Davison,3,female,34,1,0,16.1,1
Master. William Loch Coutts,3,male,3,1,1,15.9,1
Mr. Jovan Dimic,3,male,42,0,0,8.6625,0
Mr. Nils Martin Odahl,3,male,23,0,0,9.225,0
Mr. Fletcher Fellows Williams-Lambert,1,male,43,0,0,35,0
Mr. Tannous Elias,3,male,15,1,1,7.2292,0
Mr. Josef Arnold-Franchi,3,male,25,1,0,17.8,0
Mr. Wazli Yousif,3,male,23,0,0,7.225,0
Mr. Leo Peter Vanden Steen,3,male,28,0,0,9.5,0
Miss. Elsie Edith Bowerman,1,female,22,0,1,55,1
Miss. Annie Clemmer Funk,2,female,38,0,0,13,0
Miss. Mary McGovern,3,female,22,0,0,7.8792,1
Miss. Helen Mary Mockler,3,female,23,0,0,7.8792,1
Mr. Wilhelm Skoog,3,male,40,1,4,27.9,0
Mr. Sebastiano del Carlo,2,male,29,1,0,27.7208,0
Mrs. (Catherine David) Barbara,3,female,45,0,1,14.4542,0
Mr. Adola Asim,3,male,35,0,0,7.05,0
Mr. Thomas O'Brien,3,male,27,1,0,15.5,0
Mr. Mauritz Nils Martin Adahl,3,male,30,0,0,7.25,0
Mrs. Frank Manley (Anna Sophia Atkinson) Warren,1,female,60,1,0,75.25,1
Mrs. (Mantoura Boulos) Moussa,3,female,35,0,0,7.2292,1
Miss. Annie Jermyn,3,female,22,0,0,7.75,1
Mme. Leontine Pauline Aubart,1,female,24,0,0,69.3,1
Mr. George Achilles Harder,1,male,25,1,0,55.4417,1
Mr. Jakob Alfred Wiklund,3,male,18,1,0,6.4958,0
Mr. William Thomas Beavan,3,male,19,0,0,8.05,0
Mr. Sante Ringhini,1,male,22,0,0,135.6333,0
Miss. Stina Viola Palsson,3,female,3,3,1,21.075,0
Mrs. Edgar Joseph (Leila Saks) Meyer,1,female,25,1,0,82.1708,1
Miss. Aurora Adelia Landergren,3,female,22,0,0,7.25,1
Mr. Harry Elkins Widener,1,male,27,0,2,211.5,0
Mr. Tannous Betros,3,male,20,0,0,4.0125,0
Mr. Karl Gideon Gustafsson,3,male,19,0,0,7.775,0
Miss. Rosalie Bidois,1,female,42,0,0,227.525,1
Miss. Maria Nakid,3,female,1,0,2,15.7417,1
Mr. Juho Tikkanen,3,male,32,0,0,7.925,0
Mrs. Alexander Oskar (Mary Aline Towner) Holverson,1,female,35,1,0,52,1
Mr. Vasil Plotcharsky,3,male,27,0,0,7.8958,0
Mr. Charles Henry Davies,2,male,18,0,0,73.5,0
Master. Sidney Leonard Goodwin,3,male,1,5,2,46.9,0
Miss. Kate Buss,2,female,36,0,0,13,1
Mr. Matthew Sadlier,3,male,19,0,0,7.7292,0
Miss. Bertha Lehmann,2,female,17,0,0,12,1
Mr. William Ernest Carter,1,male,36,1,2,120,1
Mr. Carl Olof Jansson,3,male,21,0,0,7.7958,1
Mr. Johan Birger Gustafsson,3,male,28,2,0,7.925,0
Miss. Marjorie Newell,1,female,23,1,0,113.275,1
Mrs. Hjalmar (Agnes Charlotta Bengtsson) Sandstrom,3,female,24,0,2,16.7,1
Mr. Erik Johansson,3,male,22,0,0,7.7958,0
Miss. Elina Olsson,3,female,31,0,0,7.8542,0
Mr. Peter David McKane,2,male,46,0,0,26,0
Dr. Alfred Pain,2,male,23,0,0,10.5,0
Mrs. William H (Jessie L) Trout,2,female,28,0,0,12.65,1
Mr. Juha Niskanen,3,male,39,0,0,7.925,1
Mr. John Adams,3,male,26,0,0,8.05,0
Miss. Mari Aina Jussila,3,female,21,1,0,9.825,0
Mr. Pekka Pietari Hakkarainen,3,male,28,1,0,15.85,0
Miss. Marija Oreskovic,3,female,20,0,0,8.6625,0
Mr. Shadrach Gale,2,male,34,1,0,21,0
Mr. Carl/Charles Peter Widegren,3,male,51,0,0,7.75,0
Master. William Rowe Richards,2,male,3,1,1,18.75,1
Mr. Hans Martin Monsen Birkeland,3,male,21,0,0,7.775,0
Miss. Ida Lefebre,3,female,3,3,1,25.4667,0
Mr. Todor Sdycoff,3,male,42,0,0,7.8958,0
Mr. Henry Hart,3,male,27,0,0,6.8583,0
Miss. Daisy E Minahan,1,female,33,1,0,90,1
Mr. Alfred Fleming Cunningham,2,male,22,0,0,0,0
Mr. Johan Julian Sundman,3,male,44,0,0,7.925,1
Mrs. Thomas (Annie Louise Rowley) Meek,3,female,32,0,0,8.05,0
Mrs. James Vivian (Lulu Thorne Christian) Drew,2,female,34,1,1,32.5,1
Miss. Lyyli Karoliina Silven,2,female,18,0,2,13,1
Mr. William John Matthews,2,male,30,0,0,13,0
Miss. Catharina Van Impe,3,female,10,0,2,24.15,0
Mr. David Charters,3,male,21,0,0,7.7333,0
Mr. Leo Zimmerman,3,male,29,0,0,7.875,0
Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren) Danbom,3,female,28,1,1,14.4,0
Mr. Viktor Richard Rosblom,3,male,18,1,1,20.2125,0
Mr. Phillippe Wiseman,3,male,54,0,0,7.25,0
Mrs. Charles V (Ada Maria Winfield) Clarke,2,female,28,1,0,26,1
Miss. Kate Florence Phillips,2,female,19,0,0,26,1
Mr. James Flynn,3,male,28,0,0,7.75,0
Mr. Berk (Berk Trembisky) Pickard,3,male,32,0,0,8.05,1
Mr. Mauritz Hakan Bjornstrom-Steffansson,1,male,28,0,0,26.55,1
Mrs. Percival (Florence Kate White) Thorneycroft,3,female,33,1,0,16.1,1
